name	name_ja	url	country	industry	size	captive	note
住宅保障共済会	（株）住宅保障共済会	http://www.kyousaikai.co.jp/	JP	insurance	sme		
少額短期保険ハウスガード	少額短期保険ハウスガード（株）	http://www.hg-ssi.com/	JP	insurance	sme		
スターツ少額短期保険	スターツ少額短期保険（株）	http://www.suma-pula-ssi.co.jp/	JP	insurance	sme	スターツ	
スマートプラス少額短期保険	スマートプラス少額短期保険（株）	https://www.smartplus-insurance.com/	JP	insurance	sme		
すまい共済	すまい共済（株）	http://www.sumaikyosai.com/	JP	insurance	sme		
スマイル少額短期保険	スマイル少額短期保険（株）	https://smile-ins.co.jp/	JP	insurance	sme		
セーフティージャパン・リスクマネジメント	セーフティージャパン・リスクマネジメント（株）	http://www.sjrm-ssi.co.jp/	JP	insurance	sme		
セキスイハイム不動産少額短期保険	セキスイハイム不動産少額短期保険（株）	http://sekifu-ssi.co.jp/	JP	insurance	sme	積水化学	
積水ハウスシャーメゾン少額短期保険	積水ハウスシャーメゾン少額短期保険（株）	https://mastsast.co.jp/	JP	insurance	sme	積水ハウス	
全管協少額短期保険	全管協少額短期保険（株）	https://www.zkssi.co.jp/	JP	insurance	sme		
ぜんち共済	ぜんち共済（株）	http://www.z-kyosai.com/	JP	insurance	sme		
全日ラビー少額短期保険	全日ラビー少額短期保険（株）	http://www.z-rabby.co.jp/	JP	insurance	sme		
第一スマート少額短期保険	第一スマート少額短期保険（株）	https://dsmart-ins.com	JP	insurance	sme	第一生命	
タイズ少額短期保険	タイズ少額短期保険（株）	https://vic-ssi.co.jp	JP	insurance	sme		
宅建ファミリー共済	（株）宅建ファミリー共済	http://www.takken-fk.co.jp/	JP	insurance	sme		
宅建ファミリーパートナー	（株）宅建ファミリーパートナー	https://www.takken-fp.co.jp	JP	insurance	sme		
ダブルエー少額短期保険	ダブルエー少額短期保険（株）	https://www.aa-ssi.co.jp/	JP	insurance	sme		
チューリッヒ少額短期保険	チューリッヒ少額短期保険（株）	https://www.zurichssi.co.jp/	JP	insurance	sme	Zurich	
賃貸少額短期保険	（株）賃貸少額短期保険	http://www.cjkk.co.jp/	JP	insurance	sme		
つばき少額短期保険	つばき少額短期保険（株）	http://www.tsubaki-hoken.co.jp	JP	insurance	sme		
デジタル少額短期保険	デジタル少額短期保険（株）	https://digital-ssi.com/	JP	insurance	sme		
東急少額短期保険	東急少額短期保険（株）	https://www.tssi.co.jp/	JP	insurance	sme	東急	
東京海上ウエスト少額短期保険	東京海上ウエスト少額短期保険（株）	http://www.twssi.co.jp/	JP	insurance	sme	Tokio Marine	
東京海上トラスト少額短期保険	東京海上トラスト少額短期保険（株）	https://www.trssi.co.jp/	JP	insurance	sme	Tokio Marine	
東京海上ミレア少額短期保険	東京海上ミレア少額短期保険（株）	http://www.tmssi.co.jp/	JP	insurance	sme	Tokio Marine	
富山常備健康クラブ	（株）富山常備健康クラブ	https://www.toyama-jobi-kc.com/	JP	insurance	sme		
ニッセイプラス少額短期保険	ニッセイプラス少額短期保険（株）	https://www.nissay-plus.co.jp	JP	insurance	sme	日本生命	
日本共済	日本共済（株）	http://www.nihonkyosai.com/	JP	insurance	sme		
日本ペット少額短期保険	日本ペット少額短期保険（株）	https://www.nihonpet.co.jp/	JP	insurance	sme		pet
ネットライフ火災少額短期保険	ネットライフ火災少額短期保険（株）	http://netlifekasai.co.jp/	JP	insurance	sme		
ハトネッツ少額短期保険	ハトネッツ少額短期保険（株）	https://www.hatossi.net/	JP	insurance	sme		
東日本少額短期保険	東日本少額短期保険（株）	http://www.hsth.jp/	JP	insurance	sme		
ビバビーダメディカルライフ	（株）ビバビーダメディカルライフ	https://vivavida.net/jp/	JP	insurance	sme		
ヒューマンライフ少額短期保険	ヒューマンライフ少額短期保険（株）	http://www.humanlife-s.co.jp/	JP	insurance	sme		
フェニックス少額短期保険	フェニックス少額短期保険（株）	http://phoenixssi.com/	JP	insurance	sme		
富士少額短期保険	富士少額短期保険（株）	http://www.fujishotan.co.jp/	JP	insurance	sme		
プラス少額短期保険	プラス少額短期保険（株）	https://www.plus-ins.co.jp/	JP	insurance	sme		
フレックス少額短期保険	フレックス少額短期保険（株）	https://flex-ins.co.jp/	JP	insurance	sme		
